儀式|ceremony, rite, ritual, service
性別|gender, distinction of sex, sex
大学院|graduate school
売買|trade, buying and selling, trafficking (e.g. of humans, arms, drugs), dealing
電波|radio wave, reception, signal
水蒸気|water vapour, water vapor, steam
交流|exchange (e.g. cultural), interchange, interaction, mingling, mixing, coming together
俳句|haiku, 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae
歯磨き|"dental brushing, brushing one's teeth"
随筆|essays, miscellaneous writings, literary jottings
漁業|fishing industry, fishery
線路|railway track, railway line, railroad, railway, track, line
幼稚園|kindergarten, nursery school, preschool
透明|transparent, clear
灯台|lighthouse
洗剤|detergent, cleanser, cleaning agent, washing material
観測|observation, survey, measurement
役所|government office, public office
冠|traditional cap worn by Shinto clergy and courtiers
祝日|national holiday, public holiday
名刺|business card
童話|"children's story, fairy tale"
会館|meeting hall, assembly hall
紫|purple, violet
工夫|devising (a way), contriving, inventing, thinking up, figuring out, coming up with, working out
車掌|(train) conductor
歯車|gear, cogwheel
半島|peninsula
名物|famous product, special product, speciality, specialty
流域|drainage basin, catchment basin, river basin, watershed, valley
司会|leading a meeting, presiding over a meeting, officiating at a ceremony, chairmanship
接続|connection, attachment, union, join, joint, link
転々|moving from place to place, being passed around repeatedly
学部|department of a university
農薬|agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical
社説|editorial, leading article, leader
気圧|atmospheric pressure
重力|gravity, gravitation, gravitational pull
真空|vacuum, hollow, empty
発電|generation of electricity, power generation
頂点|vertex, apex
圧縮|compression
郡|district, county
西暦|Common Era, CE, Christian Era, anno domini, AD
工芸|industrial arts, craft
索引|index (in a book)
輸血|blood transfusion
峠|(mountain) pass, highest point on a mountain road, ridge
自治|self-government, autonomy
筆記|(taking) notes, copying
紙幣|paper money, note, bill
杉|Japanese cedar (Cryptomeria japonica)
測量|measurement, surveying
機関車|locomotive, engine
為替|money order, draft
学会|learned society, scientific society, academy, academic meeting, academic conference
社会科学|social science
献立|menu, bill of fare
合同|combination, union, joining, incorporation, amalgamation, merger, fusion
踏切|railway crossing, railroad crossing, train crossing, level crossing
曖昧|vague, ambiguous, unclear
梯子|ladder
肘|elbow
絨毯|carpet, rug, runner
編み物|knitting, knitted material, crochet
釘|nail, spike, tack, rivet, brad, (pachinko) pin
包帯|bandage, dressing
気体|gas, vapour, vapor, gaseous body
茹でる|to boil (something in hot water)
飢饉|famine, crop failure
胡椒|pepper
煉瓦|brick
直角|right angle, perpendicular
錆|rust
迷信|superstition, superstitious belief
待合室|waiting room
失恋|disappointed love, broken heart, unrequited love, being lovelorn
櫛|comb
省略|omission, leaving out
蒸発|evaporation
回り道|detour, circuitous route, diversion
名詞|noun
扇風機|electric fan
裁縫|sewing, needlework
正方形|square
形容詞|adjective, i-adjective (in Japanese)
蕎麦|buckwheat (Fagopyrum esculentum)
人差し指|index finger, forefinger
副詞|adverb
消防署|fire station
定規|(measuring) ruler
蛍光灯|fluorescent lamp, fluorescent light
座布団|zabuton, flat floor cushion used when sitting or kneeling; usu. rectangular
人文科学|humanities, social sciences, liberal arts
括弧|brackets, parentheses
海水浴|swimming in the ocean, sea bathing, seawater bath, going for a dip in the ocean
矢印|arrow (symbol)
時間割|timetable (esp. a weekly school timetable), schedule
体積|capacity, volume
箒|broom
敬語|honorific, term of respect, polite expression, honorific language
経度|longitude
長方形|rectangle, oblong
温帯|temperate zone
水筒|canteen, flask, water bottle, thermos
風呂敷|wrapping cloth, cloth wrapper
薬指|ring finger, third finger, fourth finger (in piano-playing)
下駄|geta, traditional Japanese wooden sandal
障子|shoji (paper sliding door)
複写|copying, duplication, reproduction, copy
手洗い|"washing one's hands, water (or basin, etc.) for washing one's hands"
噴水|water fountain
便所|toilet, lavatory, water closet, restroom, bathroom
肌着|underwear, underclothes, lingerie, chemise, singlet
中指|middle finger, long finger, second finger, tall finger
方程式|equation, formula
螺子|screw
主語|subject
零点|zero (points, marks), no marks
長所|strong point, merit, virtue, advantage
休息|rest, relief, relaxation
湿気|moisture, humidity, dampness
勝負|victory or defeat
役人|government official
相互|mutual, reciprocal
引っ越し|moving (dwelling, office, etc.), changing residence
海洋|ocean, sea
関西|Kansai, region consisting of Osaka, Kobe, Kyoto and surrounding prefectures
上り|ascent, climbing, ascending (path), climb
正門|main gate, main entrance
南米|South America
連合|union, combination, alliance, confederation, coalition
下町|low-lying part of a city (usu. containing shops, factories, etc.)
大小|size
一応|more or less, though not quite satisfactorily, after a fashion, pretty much, roughly, so far as it goes, technically
御免|"I'm sorry, my apologies, excuse me, pardon me"
一旦|once
麓|foot (of a mountain or hill), bottom, base
生け花|ikebana, Japanese art of flower arrangement
欧米|Europe and America, the West
稽古|practice, practising, training, study
隙間|crevice, crack, gap, opening, clearance
箪笥|chest of drawers, bureau, cabinet, tansu, dresser
瀬戸物|earthenware, porcelain, china, pottery, crockery
合流|confluence (of rivers), flowing together, joining
下る|to descend, to go down, to come down
間もなく|soon, shortly, before long, in a short time, in a little while
耐える|to bear, to stand, to endure, to put up with
少なくとも|at least
押さえる|to pin down, to hold down, to press down, to hold in place, to hold steady
知り合い|acquaintance
相変わらず|as usual, as always, as before, as ever, still
率直|frank, candid, straightforward, openhearted, direct, outspoken
努める|to endeavor (to do), to endeavour, to try hard, to work hard, to strive, to make an effort, to exert oneself, to devote oneself, to be committed (to doing)
殴る|to strike, to hit, to beat, to punch
慌てる|to become confused (disconcerted, disorganized, disorganised), to be flustered, to panic
診る|to examine (medically)
何とも|really, very, extremely, terribly, awfully
稀|rare, seldom
迫る|to approach, to draw near, to be imminent
狙う|to aim at (with a weapon, etc.)
浮かべる|to float, to set afloat, to launch
交代|alternation, change, relief, relay, shift, substitution (sports, etc.), taking turns
枯れる|to wither (of a plant), to be blasted, to die
当たり前|natural, reasonable, obvious
外れる|to be disconnected, to get out of place, to be off, to be out (e.g. of gear)
広げる|to spread, to extend, to expand, to enlarge, to widen, to broaden
取り消す|to cancel, to withdraw, to retract, to take back (words, etc.), to revoke
伝わる|to spread (of a rumour, news, etc.), to travel, to circulate, to go around, to be passed around, to become known
見送る|to see someone off (at a station, an airport, etc.), to escort (e.g. home)
接する|to touch, to come in contact with, to border on, to adjoin, to be adjacent, to be close
分かれる|to branch, to fork, to diverge
売り上げ|amount sold, sales, proceeds, takings, turnover
刺す|to pierce, to stab, to prick, to stick, to thrust
配る|to distribute, to hand out, to deliver, to deal out, to serve out
属する|to belong to, to come under, to be affiliated with, to be subject to
作成|making (a report, plan, contract, etc.), drawing up, writing out, preparing, creating (a file, website, account, etc.)
呼び出す|to call (someone) to (the door, phone, etc.), to tell (someone) to come, to call up (on the phone), to summon, to page, to invoke (e.g. a spirit)
積む|to pile up, to stack
飢える|to starve, to be famished, to be hungry
懐かしい|dear (old), fondly-remembered, beloved, missed, nostalgic
性質|nature (of a person), disposition, temperament, character
話し合い|discussion, talk, tête-à-tête, conference
埋める|to bury (e.g. in the ground)
方針|policy, course, plan (of action), principle
建つ|to be erected, to be built
解散|breaking up (a meeting, gathering, etc.), dispersal (e.g. of a crowd)
兼ねる|to be unable to, to find difficult (unpleasant, awkward, painful) to do
余計|extra, more, too much, too many, excessive, superfluous, spare, surplus
法則|law, rule
発揮|show (of power, ability, etc.), exhibition, demonstration, display, manifestation
生き生き|in a lively way, vividly, freshly, animatedly, actively, energetically
夫妻|husband and wife, married couple
原稿|manuscript, copy, draft, notes, contribution
手続き|procedure, process, proceedings, formalities
実力|(real) ability, true strength, merit, efficiency, competency
別荘|holiday house, vacation home, villa
日差し|sunlight, rays of the Sun
通知|notice, notification, report, posting
本来|originally, primarily
女房|"wife (esp. one's own wife)"
国王|king, queen, monarch, sovereign
登場|entrance (on the stage), appearance (in a book, film, etc.)
動作|movement (of the body), action, motion, gesture
出張|business trip, official trip
蚊|mosquito
幼児|young child, toddler
皮肉|irony, sarcasm, cynicism, satire
以降|on and after, from ... onward, since
例外|exception
縛る|to tie, to bind, to fasten
傑作|"masterpiece, masterwork, chef d'oeuvre, fine piece of work"
一流|first-class, first-rate, top-flight, top-ranking, leading, eminent, top
集会|meeting, assembly, gathering, congregation, convention, rally
絞る|to wring (towel, rag), to squeeze
侵入|invasion, incursion, raid, aggression, intrusion, trespass, penetration, hacking
低下|fall, decline, lowering, deterioration, degradation
身分|(social) standing, status, position, rank
普及|diffusion, spread, popularization, promulgation, familiarization
全身|whole (body), full-length (e.g. portrait)
要領|point, gist, essentials, tenets, outline
周辺|circumference, outskirts, environs, around, in the area of, in the vicinity of
増大|enlargement, increase
校舎|school building, schoolhouse
不運|misfortune, bad luck, ill luck, ill fortune
分類|classification, categorization, sorting
公正|justice, fairness, impartiality
高度|altitude, height, elevation
改正|revision, amendment, alteration
満点|perfect score, full marks
郵送|mailing, posting
食器|tableware
一定|to fix, to settle, to standardize, to regularize
地点|spot, point, place, position
手入れ|care, looking after, repair, maintenance, tending, trimming, grooming
特定|specific, particular, designated, special
展開|development, evolution, progression, unfolding, (plot) twist
統計|statistics
項目|item, heading, category, clause
利害|advantages and disadvantages, interests (of parties)
調整|adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring
高める|to raise, to lift, to boost, to enhance
刻む|to mince, to cut fine, to chop up, to hash, to shred
構造|structure, construction, makeup, framework, organization, pattern
苦情|complaint, troubles, objection, grievance
学科|study subject, course of study
時速|speed (per hour)
手ごろ|handy, convenient
判事|judge, judiciary
日の出|sunrise
小遣い|pocket money, spending money, pin money, allowance
乱暴|violence, assault, rowdiness, wildness, running riot
標識|sign, mark, marker, beacon
見舞う|"to visit and comfort or console, to go to see (e.g. someone in hospital), to ask after (e.g. someone's health), to inquire after"
接近|getting closer, drawing nearer, approaching
役目|duty, role, function
頭脳|head, brains
往復|making a round trip, going and returning, coming and going
教養|"(understanding or appreciation of) culture, (one's) education, cultivation, sophistication, refinement"
素直|obedient, meek, docile, unaffected
知人|friend, acquaintance
重役|(company) director, executive, top management
反映|reflection (of light)
前後|front and rear, front and back, before and behind, back and forth
対策|measure, step, countermeasure, counterplan, countermove, strategy, preparation (e.g. for a test)
崩れる|to collapse, to crumble
弱点|weak point, weakness, shortcoming, defect, flaw, sore spot, tender spot
総理大臣|prime minister (as the head of a cabinet government), premier
無数|innumerable, countless, numberless
段階|stage, step, phase
役者|actor, actress
満員|full house, no vacancy, sold out, standing room only, full (of people), crowded
娯楽|amusement, entertainment, recreation, pleasure, pastime, hobby
解答|answer, solution
派手|showy, loud, flashy, gaudy
冷やす|to cool (from room temperature), to chill, to refrigerate
祖先|ancestor
基準|standard, basis, criterion, norm, reference, datum
早口|fast-talking, rapid talking
相違|difference, discrepancy, variation
中身|contents, interior, filling
分解|disassembly, dismantling, disaggregating, taking apart, breaking up, analysis, parsing
空中|sky, air, mid-air
油断|negligence, carelessness, inattention, unpreparedness
争う|to compete, to contest, to contend
塊|lump, mass, bundle, clump, clod, cluster
花嫁|bride
調節|regulation, adjustment, control
焦点|focus, focal point
停止|stoppage, coming to a stop, halt, standstill
箇所|place, point, part, spot, area, passage, portion
先頭|head (of a line, group, etc.), front, lead, forefront, vanguard
温まる|to warm oneself, to sun oneself, to warm up, to get warm
受話器|(telephone) receiver
寄せる|to come near, to let someone approach
期限|term, period, time frame
停車|stopping (of a train, car, etc.), stop
活躍|activity (esp. energetic or successful), great efforts, active participation
応対|dealing with (people, customers, complaints, etc.), receiving (callers, visitors, etc.), attending to, handling, serving
賞金|prize money, monetary award, reward
葬式|funeral
追加|addition, supplement, appending, appendix
口実|excuse, pretext
過程|process, course, mechanism
心得る|to know, to understand, to be aware of, to regard as, to take for
見学|inspection, study by observation, field trip, tour, review
回答|reply, answer
部品|parts, accessories, components
受験|taking an examination (esp. for entrance to a school or university)
果たして|as was expected, just as one thought, sure enough
標準|standard, level, norm
防止|prevention, check
推定|presumption, assumption
言葉遣い|speech, expression, wording, language
重ねる|to pile up, to heap up, to stack up, to put on top of another
発射|firing (esp. a rocket or missile), launching, shooting, discharge, catapult
恩恵|grace, favor, favour, blessing, benefit
不通|suspension, interruption, stoppage, tie-up, cessation
発売|sale, offering for sale, release (for sale), launch (product)
行事|event, function
恨み|resentment, grudge, malice, bitterness
改める|to change, to alter, to revise, to replace
見直す|to look at again
拡張|expansion, extension, enlargement
点数|marks, points, score, grade, runs (baseball)
形式|form (as opposed to substance)
気配|indication, sign, hint, sensation, feeling
指定|designation, specification, assignment, appointment, pointing at
神様|God, god
間隔|space, interval
活力|vitality, energy, dynamism
出迎える|to meet, to greet
純粋|pure, true, genuine, unmixed
短期|short-term
予備|reserve, spare
上下|top and bottom, high and low, above and below, upper and lower ends, up and down
申請|application, request, petition
窓口|counter, window, teller window, ticket window
未満|less than, under, below
録音|(audio) recording
作者|creator (of a work), author, writer, artist, composer, playwright, dramatist
謙虚|modest, humble
長男|eldest son (may be the only son), first-born son
過半数|majority
日時|date and time (of a meeting, departure, etc.)
公表|official announcement, proclamation
次ぐ|to follow, to come after, to come next (to), to rank next (to), to rank second (to)
採点|marking, grading, scoring
残らず|all, entirely, completely, without exception
物語る|to tell (a story), to give an account of (an event, experience, etc.), to relate, to recount
実物|real thing, original, actual
対立|confrontation, opposition, antagonism
受取り|receiving, receipt
縮小|reduction, curtailment, cut, cutback, scaling down, contraction, shrinkage
筆者|writer, author
一々|one-by-one, separately
休養|rest, relaxation, recreation, recuperation, convalescence
商店|shop, store, firm
親類|relative, relation, kin
性能|ability, performance, efficiency
過剰|excess, surplus, superabundance, overabundance
応用|(practical) application, putting to practical use
削る|to shave (wood, leather, etc.), to sharpen (e.g. pencil), to plane, to whittle, to pare, to scrape off, to erode
来日|arrival in Japan, coming to Japan, visit to Japan
混合|mixing, mixture, meld
就任|assumption (of office), taking up (a post), inauguration, installation
体制|order, system, structure, set-up, organization, organisation
理科|science (inc. mathematics, medicine, etc.), natural science
寿命|lifespan, life, lifetime
兵隊|soldier, sailor
綱|rope, cord, line
公衆|the public, general public
夕日|evening sun, setting sun
膨大|huge, vast, enormous, colossal, extensive, large
日陰|shade, shadow
隔てる|to separate (by distance, time, etc.), to isolate, to partition, to divide
原料|raw materials, ingredient
缶詰|canned food, tinned food
一段|even more, still more, much more, further
鑑賞|appreciation (of art, music, poetry, etc.)
整備|maintenance, servicing
破片|fragment, broken piece, splinter, chip, shard
両側|both sides
削除|deletion, elimination, erasure, striking out
開会|opening of a meeting
真っ先|the head, the foremost, beginning, the very front
看病|nursing (a patient)
近々|soon, before long, shortly, in the near future
臨時|temporary, provisional, interim
民間|private, non-governmental, non-official, civilian, civil
有料|fee-charging, paid, not free
交通機関|(means of) transportation, transport, transportation facilities, transportation system, transit system
書籍|book, publication
用語|term, terminology
地帯|zone, area, belt, region
雑音|noise (usu. unpleasant)
工事|construction work
盗難|theft, robbery
膨らます|to swell, to expand, to inflate, to bulge
日程|schedule, program, programme, agenda
問い合わせ|inquiry, query, enquiry
碁|go (board game)
材木|wood (for building), lumber, timber
小学生|elementary school student, primary school student, grade school student
創作|creation, production, creative work (novel, film, etc.), original work, (creative) writing
循環|circulation, rotation, cycle, loop
当日|day in question, appointed day, that very day, the day (of issue, publication, etc.)
実例|example, illustration, precedent
成立|formation, establishment, materialization, coming into existence
重量|weight
在学|attending (school, college, etc.), being enrolled, being a student
直前|just before, just prior to
先端|pointed end, tip, point, cusp (of a leaf, crescent moon, etc.), apex (of a curve)
規律|order, observance, discipline
強引|overbearing, coercive, pushy, forcible, high-handed
素人|amateur, layman, ordinary person, novice
栓|stopper, cork, plug, bung
起床|"rising (from one's bed), getting up, getting out of bed"
夜間|night, nighttime
限度|limit, bounds
対照|contrast, antithesis, comparison
薄暗い|dim, gloomy
貸家|house for rent
加速|acceleration, speeding up
家主|landlord, landlady
高級|high-class, high-grade, high-quality, high-end, luxury
中間|middle, midway, halfway, centre, center
特殊|special, particular, peculiar, unique
日用品|daily necessities
容器|container, receptacle, vessel, packaging
回数|number of times, frequency, count
快晴|clear weather, cloudless weather, good weather
逆さ|inverted, upside down, reversed, back to front
休業|suspension of business, temporary closure (of a store, school, etc.), shutdown, holiday
方面|direction, district, area
響き|echo, reverberation
刺さる|to stick into (of something with a sharp point), to prick, to pierce, to get stuck (in), to lodge (in)
外部|outside (e.g. of a building), exterior
文脈|context (of a passage), line of thought
子孫|descendant, posterity, offspring
区域|area, zone, district, quarter, section, limits, boundary
学級|(school) class
児童|children, juvenile
特色|characteristic, feature, idiosyncrasy, personal colour
改造|remodeling, remodelling, reconstruction, conversion, alteration, renovation, modification, reshuffling (e.g. a cabinet), reorganization, restructuring
植木|garden shrubs, trees, potted plant
意義|meaning, significance
深まる|to deepen, to heighten, to intensify
開放|opening (a door, window, etc.), leaving open
寸法|measurement, size, extent, dimension
岬|cape (on coast)
屋外|outdoors, outside
貝|shellfish
力強い|powerful, strong, forceful, vigorous
片道|one-way (trip)
長女|eldest daughter, first-born daughter
校庭|schoolyard, school playground, school grounds, campus
定期券|commuter pass, season ticket
厳重|strict, severe, stringent, rigorous, rigid, firm, strong, secure
能率|efficiency
鉢|bowl, pot, basin
基地|base (military, expedition, etc.)
再三|again and again, repeatedly
感想|impressions, thoughts, feelings, reactions
閉会|closure (of a ceremony, event, meeting, etc.)
全集|complete works, complete collection, complete series
欄|section (e.g. in a newspaper), column, page
持参|bringing, taking, carrying
課税|taxation
瞳|pupil (of the eye)
何しろ|in any case, at any rate, anyhow, anyway, as you know, for you see, particularly
実感|real feeling, actual feeling
絵の具|paint, coloring materials, colors, colours
実用|practical use, utility
架空|fictitious, imaginary, fanciful, fabricated
以後|after this, from now on, hereafter
順序|order, sequence
鉄砲|gun
育児|childcare, child-rearing, nursing, upbringing
写る|to be photographed, to be projected
水曜|Wednesday
案外|unexpectedly, surprisingly
成分|ingredient, component, composition
正面|front, frontage, facade, main
入社|joining a company, getting a job with a company, starting work at a company
汁|juice, sap
貸し出し|lending, loaning
後輩|junior (at work, school, etc.), younger people, younger student
地名|place name, toponym
下車|alighting (from a train, bus, etc.), getting off, getting out (of a car)
芯|wick, marrow, staple (for stapler), (pencil) lead, stuffing, pith
題名|title, caption, heading
効力|effect, efficacy, validity, potency
日帰り|day trip
標本|example, specimen, sample
評論|criticism, critique
各自|each (person), everyone, individual, respective
物置|storage room, storeroom, lumber room
氏名|(full) name, identity
美容|beauty, good figure, (beautiful) appearance, (beautiful) features
地味|plain, simple, subdued, sober
酸性|acidity
私立|private (establishment)
脂|fat, tallow, lard, grease
実績|achievements, actual results, accomplishments, past results, track record
粒|grain, bead, drop
鈴|bell (often globular)
免税|tax exemption, duty exemption
定員|fixed number (of people), prescribed number (of regular personnel, students, etc.), quota, numerical limit, complement
終点|terminus, last stop (e.g. train)
売店|stand, stall, booth, kiosk, store
超過|excess, surplus, exceeding (a limit, estimate, etc.), going over
不規則|irregular, unsystematic, unsteady, disorderly
外科|surgery (branch of medicine)
的確|accurate, precise, exact, appropriate, apt, right
募集|recruitment, invitation, selection, advertisement, taking applications
驚かす|to surprise, to frighten, to create a stir
人命|(human) life
研修|training (esp. in-service), induction course
区分|division, section, demarcation, partition, segmentation, compartment, (traffic) lane
飾り|decoration, ornament, trimmings
執筆|writing, authoring
体系|system, organization, organisation, architecture
下水|drainage, ditch, gutter, sewerage
地質|geological features
中途|halfway, midway, partway, mid-course
乗車|boarding (a train, bus, etc.), getting into (e.g. a taxi)
境界|boundary, border, limit, bounds, frontier
清掃|cleaning, clean-up, garbage collection, scavenging
定価|list price, regular price, established price
公務|official business, public business
課程|course, curriculum
東西|east and west
内線|phone extension, indoor wiring, inner line
解説|explanation, commentary, exposition, elucidation
続々|successively, one after another
催し|event, festivities, function, social gathering, auspices, opening, holding (a meeting)
街角|street corner
文献|literature, books (reference), document
開通|opening (of a new road, railway, etc.), going into operation (e.g. telephone communication), beginning services
出入り口|exit and entrance
実習|practice (in the field), training (esp. practical and hands-on), practical exercise, drill
暴れる|to act violently, to rage, to struggle, to be riotous
殻|shell, husk, hull, pod, chaff
苦心|pains, hard work, effort, trouble, labour, labor
本部|headquarters, head office, main office
盆地|basin (e.g. between mountains)
薬品|medicine, chemicals
容積|capacity, volume
強気|confident, assured, self-assured, firm, strong, cocksure
乾電池|dry cell, battery
肯定|affirmation
感激|deep emotion, impression, inspiration
巡査|police officer, policeman, constable
寝台|bed, couch
中旬|middle ten days of a month, 11th to 20th day of a month
断定|conclusion, decision, judgement, declaration
別々|separate, respective, different
留守番|care-taking, house-sitting, house-watching, staying at home
酒場|bar, pub, tavern
生年月日|birth date, date of birth, DOB
勝敗|victory or defeat, outcome (of a game, battle, etc.)
送料|postage, carriage, shipping charge
書道|calligraphy (esp. Asian calligraphy based on Chinese characters)
消耗|exhaustion, consumption, using up, dissipation, waste
攻める|to attack, to assault, to assail
灯油|kerosene, paraffin, lamp oil
締め切る|to close up, to shut up (e.g. behind doors)
分量|amount, quantity
内科|internal medicine
南北|north and south, north to south
高等|high class, high grade
日課|daily routine, daily work, daily lesson
年度|fiscal year (usu. April 1 to March 31 in Japan), financial year
安易|easy, simple
紺|navy blue, deep blue
格別|particular, special, exceptional, especial
付属|being attached (to), being affiliated (to), belonging (to), going with
名作|masterpiece
学術|science, learning, scholarship, arts and sciences, academic pursuits
学力|scholarly ability, scholarship, knowledge, literary ability
有無|existence or nonexistence, presence or absence
用途|use, service, purpose
製作|manufacture, production
助教授|assistant professor, associate professor
盆|tray
客席|guest seating (e.g. theater, stadium), passenger seat (e.g. taxi)
賞品|prize, trophy
食塩|table salt
初級|elementary level, beginner level
金魚|goldfish (Carassius auratus)
孝行|filial piety
物指|ruler, measure
生長|growth (of a plant)
広さ|area, extent, dimensions, size
全般|(the) whole
余所|another place, somewhere else, strange parts
話しかける|to address (someone), to accost a person, to talk (to someone)
巡る|to go around, to make a circle around
騙す|to trick, to cheat, to deceive
付き合う|to associate with, to keep company with, to go out with, to go steady with, to get on with
落ち着く|to calm down, to compose oneself, to regain presence of mind, to relax
振る舞う|to behave, to conduct oneself, to act
当てはまる|to apply (of a rule), to be applicable (of standards, lessons, ideas, etc.), to hold true (e.g. of a description), to fit, to be suitable (e.g. of a word), to meet (requirements), to fulfill (conditions), to come under (a heading)
浮かぶ|to float, to be suspended
思い付く|"to think of, to hit upon, to come into one's mind, to be struck with an idea"
矢っ張り|as expected, sure enough, just as one thought
目印|mark (for quick identification or recognition), sign
為す|to form, to make, to constitute
引き受ける|to take on, to undertake, to accept, to take charge of, to assume responsibility for
その上|in addition, furthermore
捕らえる|to catch, to capture, to seize, to arrest, to grab, to catch hold of
追いかける|to chase, to run after, to pursue
替わる|to succeed, to relieve, to replace
零れる|to spill, to fall out of, to overflow
溢れる|to overflow, to brim over, to flood
零す|to spill, to drop, to shed (tears)
漸く|finally, at last
恵まれる|to be blessed with, to be rich in, to abound in
取り出す|to take out, to produce, to pick out
酸っぱい|sour, acid
飛び込む|to jump in, to leap in, to plunge into, to dive
誓う|to swear, to vow, to take an oath, to pledge
蓄える|to store, to save up, to stock up on, to lay in stock, to set aside
蝋燭|candle
目指す|to aim at (for, to do, to become), to try for, to have an eye on
立ち止まる|"to stop (in one's tracks), to come to a stop, to halt, to pause, to stand still"
係わる|to be affected, to be influenced
掘る|to dig, to excavate, to hollow
例える|to compare (something) to, to liken, to speak figuratively, to use a simile, to use a metaphor
嫌がる|to appear uncomfortable (with), to seem to hate, to express dislike
