程|extent, degree, measure
知事|prefectural governor
金融|finance, financing, credit transacting, loaning of money, circulation of money
消費|consumption, expenditure, spending
信仰|(religious) faith, belief, creed
外交|diplomacy
学期|school term, semester
翼|wing
大臣|cabinet minister
現状|present condition, existing state, status quo, current state
火災|conflagration, fire
理想|ideal, ideals
助手|assistant, helper
居間|living room (Western style), sitting room
筋肉|muscle
鍋|pan, pot, saucepan
作業|work, operation, task
組合|association, union, guild
板|board, plank
腹|abdomen, belly, stomach
悪魔|devil, demon, fiend
金庫|safe, strongbox, cashbox, vault, strongroom
伝統|tradition, convention
旗|flag
資源|resources
岸|bank, coast, shore
宝|treasure
食品|food, food products, foodstuffs
恋人|lover, sweetheart, boyfriend, girlfriend
現象|phenomenon
炎|flame, blaze
温度|temperature
跡|trace, tracks, mark, sign
呼吸|breathing, respiration
哲学|philosophy
登山|mountain climbing, ascending a mountain, ascent
骨折|bone fracture
代理|representation, agency, proxy
知能|intelligence, intellect, brains
鬼|ogre, demon, oni
印刷|printing
梅雨|(East Asian) rainy season (in Japan, usu. from early June to mid-July)
憲法|constitution
裸|nakedness, nudity
航空|aviation, flying
銀|silver (Ag)
相続|succession
大使|ambassador
渋滞|(traffic) congestion, traffic jam, gridlock
弁当|bento, Japanese box lunch
歩道|footpath, walkway, sidewalk, pavement
衛星|(natural) satellite, moon
芽|sprout, shoot, bud
模様|pattern, figure, design
医療|medical care, medical treatment
栄養|nutrition, nourishment
免許|license, licence, permission, permit, certificate
会計|accounting, finance, account, reckoning
墓|grave, gravesite, tomb
地下|underground, below the ground
議員|member of an assembly, member of the Diet, member of parliament, member of Congress
缶|can, tin
差別|distinction, differentiation, discrimination
笛|flute, fife, pipe, recorder, flageolet, shakuhachi, clarinet
道徳|morals, morality
筋|muscle, tendon, sinew
資本|funds, capital
湾|bay, gulf, inlet
国語|national language
豆|legume (esp. edible legumes or their seeds, e.g. beans, peas, pulses), bean, pea
礼|thanks, gratitude
筆|writing brush, paintbrush, pen
作曲|composition (of music), setting, writing music
土産|local specialty or souvenir bought as a gift while travelling
粉|flour, meal, powder, dust
句|section (i.e. of text), sentence, passage, paragraph
茶|tea
刀|sword (esp. Japanese single-edged), katana
菓子|confectionery, sweets, candy, cake
熱帯|tropics
泡|bubble, foam, froth, suds, lather, head (on beer)
電子|electron
飯|cooked rice
梅|Japanese apricot (Prunus mume), Japanese plum, ume, Chinese plum
能|talent, gift, function
月|Moon
馬鹿|idiot, moron, fool
屡々|often, again and again, frequently, repeatedly
退屈|tedious, boring, dull, uninteresting, tiresome, monotonous
流れる|to stream, to flow (liquid, time, etc.), to run (ink)
暗記|memorization, memorisation, learning by heart
兎|rabbit, hare, coney, cony, lagomorph (esp. leporids)
鼠|mouse, rat
膝|knee
頬|cheek (of the face)
餌|(animal) feed, fodder, pet food
量|quantity, amount, volume, capacity, portion (of food)
莫大|vast, huge, immense, enormous, colossal
式|way, style, fashion, method, system, form, type
紐|string, cord
連想|association (of ideas), being reminded (of something), suggestion
地平線|horizon (related to land)
場|place, spot, space
動詞|verb
袖|sleeve
灰|ash, ashes
秒|second (unit of time)
県|prefecture (of Japan), county (of China, Taiwan, Norway, etc.), department (of France), province (of Italy, Spain, etc.)
帯|obi (kimono sash)
と|if, when
外出|"going out, outing, leaving (one's home, office, etc.)"
当時|at that time, in those days
案内|guidance, leading (the way), showing around
地方|district, region, area, locality
一方|one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party
発展|development, growth, expansion, extension, flourishing
双子|twins, twin
団体|group, party, team
夜中|middle of the night, dead of night
中央|centre, center, middle, heart
共同|cooperation, collaboration, association, partnership, (acting in) unison
通り|street, road, avenue, thoroughfare
埃|dust
事|thing, matter
欧羅巴|Europe
彼ら|they, them
我々|we
成功|success, achievement
何か|something, some, any
尻|buttocks, behind, rump, bottom, hips
出発|departure, leaving, setting off
起こる|to occur, to happen
考え|thinking, thought, view, opinion, concept
何も|(not) anything, (nothing) at all, (not) any, nothing
友人|friend
努力|effort, exertion, endeavour, endeavor, hard work, striving
終える|to finish
最も|most, extremely
素晴らしい|wonderful, splendid, magnificent
運転|operation (of a machine), running, working
重要|important, essential, significant, major, key, principal
助ける|to save, to rescue, to spare
幸せ|happiness, good fortune, luck, blessing
心配|worry, concern, anxiety, uneasiness, fear
感じる|to feel, to sense, to experience
提案|proposal, proposition, suggestion
出席|attendance, presence, appearance
他人|another person, other people, others
以前|before, prior to, ago
間違い|mistake, error, blunder
価値|value, worth, merit
突然|abrupt, sudden, unexpected
賛成|approval, agreement, support, favour, favor
愛する|to love
老人|old person, senior citizen, the aged, the elderly
到着|arrival
満足|satisfaction, contentment, gratification
氏|Mr, Mrs, Ms, Miss
守る|to protect, to guard, to defend
失う|to lose
只|ordinary, common, usual
下さる|to give, to confer, to bestow
方法|method, process, manner, way, means, technique
無駄|futility, waste, uselessness, pointlessness, idleness
援助|assistance, aid, support
合格|passing (an exam), pass, success, passing grade
許す|to permit, to allow, to approve, to consent to
帰宅|returning home, going home, coming home, getting home
世話|care, looking after, help, assistance, aid
会合|meeting, assembly, gathering
事件|event, affair, incident, case, plot, trouble, scandal
お前|you
議論|argument, discussion, dispute, controversy
困難|difficulty, hardship, trouble, distress
決心|determination, resolution
要求|demand, firm request, requisition, requirement, desire
駄目|no good, not serving its purpose, useless, broken
受け取る|to receive, to get, to accept
休暇|holiday, day off, furlough, absence (from work)
結局|after all, in the end, ultimately, eventually
激しい|violent, furious, tempestuous
尊敬|respect, esteem, reverence, honour, honor
大いに|"very, very much, greatly, considerably, highly, exceedingly, a great deal, a lot, to one's heart's content"
準備|preparation, arrangements, getting ready, provision, setup, reserving
全然|(not) at all, (not) in the slightest
滞在|stay, sojourn
参加|participation, joining, entry
扱う|to deal with (a person), to treat, to handle, to take care of, to entertain
現れる|to appear, to come in sight, to become visible, to come out, to embody, to materialize, to materialise
離れる|to be separated, to be apart, to be distant
実行|execution (e.g. of a plan), carrying out, (putting into) practice, action, implementation, fulfillment, realization
貧しい|poor, needy
出来るだけ|as much as one can, as much as possible, if at all possible
偉大|great, grand, magnificent, outstanding, mighty
望む|to desire, to want, to wish for, to hope for
修理|repair, mending, fixing, servicing
誤り|error, mistake, slip, bug
目的|purpose, goal, aim, objective, intention
感謝|thanks, gratitude, appreciation, thankfulness
示す|to (take out and) show, to demonstrate, to tell, to exemplify, to make apparent
全員|all members, all hands, everyone, everybody, whole crew
相手|companion, partner, company
教師|teacher (classroom)
人気|popularity, public favor
招待|invitation
黙る|to be silent, to say nothing
完全|perfect, complete
出会う|to meet (by chance), to come across, to run across, to encounter, to happen upon
辺り|(in the) neighbourhood, neighborhood, vicinity, nearby, surroundings
実際|reality, actuality, truth, fact, actual conditions
冗談|joke, jest, funny story
歌手|singer
能力|ability, faculty
才能|talent, ability
自慢|pride, boast
敵|opponent, rival, adversary
選手|player (of a sport), athlete, team member
一体|(what) the heck, (why) in the world, (who) on earth
更に|furthermore, again, after all, more and more, moreover, even more
素敵|lovely, wonderful, nice, great, fantastic, superb, cool
回復|restoration, recovery, rehabilitation, return, improvement
熱心|zealous, enthusiastic, ardent, fervent, keen, eager
判断|judgment, judgement, decision, conclusion, adjudication
訪問|call, visit
注文|order (for an item)
態度|attitude, manner, behaviour, demeanour, bearing
給料|salary, wages, pay
既に|already
次第|depending on
決定|decision, determination
影響|influence, effect, impact
年齢|age, years
主張|claim, insistence, assertion, advocacy, emphasis, contention, opinion, tenet
正確|accurate, correct, precise, exact
便り|news, tidings, information, correspondence, letter
信用|confidence, trust, faith, reputation
土地|plot of land, lot, soil
旅|travel, trip, journey
商売|trade, business, commerce
奪う|to take (by force), to take away, to snatch, to steal, to rob (someone) of, to dispossess of, to deprive of, to usurp
苦労|trouble, hardship, difficulty, labour, labor, toil, pains
喜び|joy, delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations
提出|presentation (of documents), submission (of an application, report, etc.), production (e.g. of evidence), introduction (e.g. of a bill), filing, turning in
姿|figure, form, shape
回|counter for occurrences
好む|to like, to prefer
不足|insufficiency, deficiency, shortage, lack, scarcity, deficit
明らか|clear, obvious, evident, plain, definite
状況|state of affairs, situation, conditions, circumstances
話し合う|to discuss, to talk together
追いつく|to catch up (with), to draw level, to pull even, to reach
邪魔|hindrance, obstacle, nuisance, disturbance, interruption, interference
変化|change, variation, alteration, mutation, transition, transformation, transfiguration, metamorphosis
万一|(unlikely event of) emergency, the worst(-case scenario), 10000 to 1
書類|document, papers
単語|word, vocabulary
恐れる|to fear, to be afraid of
最高|best, supreme, wonderful, finest
種類|variety, kind, type, category
事態|situation, (present) state of affairs, circumstances
幸運|good luck, fortune
週間|week
越える|to cross over, to cross, to pass through, to pass over (out of), to go beyond, to go past
得意|satisfaction, pride, triumph, elation
調子|tune, tone, key, pitch, time, rhythm
状態|state, condition, situation, appearance, circumstances
以来|since, henceforth
成長|growth, development, growing up, becoming an adult
必ずしも|(not) always, (not) necessarily, (not) entirely, (not) all
光景|scene, spectacle, sight, view
頼る|to rely on, to depend on, to count on, to turn to (for help)
残す|to leave (behind)
隠す|to hide, to conceal
恐ろしい|terrible, dreadful, terrifying, frightening
戦う|to make war (on), to wage war (against), to go to war (with), to fight (with), to do battle (against)
実は|as a matter of fact, by the way, to tell you the truth, to be honest, frankly
誇り|pride, boast, credit (to)
常に|always, constantly
性格|character (of a person), personality, disposition, nature
容易|easy, simple, plain
借金|debt, loan, liabilities, borrowing money
中止|interruption, discontinuance, suspension, stoppage
一言|single word, a few words, brief comment
達する|to reach, to get to, to arrive at
地位|(social) position, status, standing
天候|weather
乗客|passenger
罪|crime, sin, wrongdoing, indiscretion
勝ち|win, victory
一層|even more, still more, all the more, more than ever
立場|position, situation
再び|again, once more, a second time
備える|to furnish with, to equip with, to provide, to install
職|job, work, employment, occupation, position
命|life, life force
不思議|wonderful, marvelous, strange, incredible, amazing, curious, miraculous, mysterious
欠席|absence, non-attendance
環境|environment, surroundings, circumstances
傾向|tendency, trend, inclination
燃える|to burn, to get fired up
是非|certainly, without fail
出身|"one's origin (e.g. city, country, parentage, school)"
覆う|to cover, to hide, to conceal, to wrap, to disguise
供給|supply, provision
手段|means, way, measure
感動|being deeply moved emotionally, excitement, passion, inspiration, deep emotion, strong impression
不幸|unhappiness, sorrow, misfortune, disaster, accident
断る|to refuse, to reject, to dismiss, to turn down, to decline
感じ|feeling, sense, impression
乗せる|to place on (something)
先日|the other day, a few days ago
表現|expression, representation, description
無視|disregarding, ignoring
奇妙|strange, odd, peculiar, queer, curious
支払う|to pay
余裕|surplus, margin, leeway, room, space, time, allowance, flexibility, scope
変更|change, modification, alteration, revision, amendment
違い|difference, distinction, discrepancy
合わせる|to match (rhythm, speed, etc.)
美人|beautiful woman, (a) beauty
実現|implementation (e.g. of a system), materialization, materialisation, realization, realisation, actualization, actualisation
殺す|to kill, to slay, to murder, to slaughter
雇う|to employ, to hire, to take on
仲間|companion, fellow, friend, mate, comrade, partner, colleague, coworker, associate
無事|safety, security, peace, quiet
成績|results, record, grades, marks
発表|"announcement, publication, presenting, statement, communique, making known, breaking (news story), expressing (one's opinion), releasing, unveiling"
様々|various, varied, diverse, all sorts of
恐らく|"probably, (most) likely, in all likelihood, I suspect, I dare say, I'm afraid"
歓迎|welcome, reception
全体|whole, entirety
許可|permission, approval, authorization, license
製品|manufactured goods, finished goods, product
疑う|to doubt, to distrust, to be suspicious of, to suspect
大部分|most part, greater part, majority
想像|imagination, supposition, guess
通す|to stick through, to force through
動かす|to move, to shift, to stir, to budge, to change position
完成|completion, perfection, accomplishment
女優|actress, female actor
最終|last, final, closing
便|flight (e.g. airline flight), trip (e.g. train trip), service
物事|things, everything
増加|increase, rise, growth, addition, increment
経営|management, administration, operation, running (a business), conducting
唯一|only, sole, unique
関心|concern, interest
救う|to rescue from, to help out of, to save
横断|crossing (a road, river, etc.), cutting through (e.g. of a river through a town), cutting across, intersecting (e.g. a railway track)
現代|present age, present day, today
支払い|payment
際|occasion, time, circumstances, (in) case (of), when
育つ|to be raised (e.g. child), to be brought up, to grow (up)
婦人|woman, lady, adult female
相談|consultation, discussion, discussing, asking (someone) for advice
考慮|consideration, taking into account
活動|activity (of a person, organization, animal, volcano, etc.), action, operation
王|king, ruler, sovereign, monarch
貯金|putting money aside, savings, deposit (e.g. in a bank)
恋|(romantic) love
結論|conclusion (of an argument, discussion, study, etc.)
命じる|to order, to command
出来事|incident, affair, happening, event
劇|drama, play
見送り|seeing (someone) off, send-off
分ける|to divide (into), to split (into), to part, to separate, to divide up, to classify, to sort out, to divide out
文句|complaint, grumbling, objection
人類|mankind, humanity
協力|cooperation, collaboration, help, support
桜|cherry tree, cherry blossom
人物|person, character, figure, personage, man, woman
望み|wish, desire, hope
食料|food
確かめる|to make sure, to check, to ascertain, to confirm, to verify
略|almost, roughly, approximately, about, around
使用|use, application, employment, utilization, utilisation
愛情|love, affection
処理|processing, dealing with, treatment, disposition, disposal
癖|habit (usu. a bad one), tendency
一生|whole life, a lifetime, all through life, one existence, a generation, an age, the whole world, the era
確認|confirmation, verification, validation, review, check, affirmation, identification
加える|to add, to add up, to sum up, to append, to annex
部分|portion, section, part
当てる|to hit
報告|report, information
日曜|Sunday
同様|same, similar, (just) like, equal
眺める|to look at, to gaze at, to watch, to stare at
直ちに|at once, immediately, right away, without delay
可能|possible, potential, practicable, feasible
画家|painter, artist
高価|highly priced, expensive, valuable, costly
様子|state (of affairs), situation, circumstances
禁止|prohibition, inhibition, ban
深刻|serious, severe, grave, acute
頂上|top, summit, peak
被害|(suffering) damage, injury, harm
手術|surgery, operation, procedure
誤解|misunderstanding
傷|wound, injury, cut, gash, bruise, scratch, scrape, scar
警告|warning, caution, admonition
夫婦|married couple, husband and wife, man and wife
穴|hole, opening, orifice, perforation
誘う|to invite, to ask (someone to do), to call (for), to take (someone) along
専攻|major subject, special study
抱える|"to hold in one's arms, to carry in one's arms, to carry under one's arm, to hold (one's head) in one's hands"
用いる|to use, to make use of, to utilize, to utilise
重大|serious, important, significant, grave, weighty
慎重|careful, cautious, prudent, discreet, deliberate
評判|reputation, (public) estimation, popularity
暮らし|(way of) life, living, livelihood, life circumstances
目標|goal, target, aim, objective
犯人|offender, criminal, culprit
瓶|bottle, jar, decanter, flagon, phial, vial
夫人|wife, Mrs, madam
味方|friend, ally, supporter
繰り返す|to repeat, to do something over again
交換|exchange, interchange, switching, reciprocity, barter, substitution, replacement, clearing (of checks, cheques)
今回|this time, now
損害|damage, injury, loss
好み|liking, taste, fancy, fondness
親しい|close (e.g. friend), familiar, friendly, intimate
語る|to talk about, to speak of, to tell, to narrate
骨|bone
演奏|musical performance
相当|corresponding to (in meaning, function, etc.), being equivalent to
限る|to restrict, to limit, to confine
例|example, instance, illustration, case
幸い|happiness, blessedness, luck, fortune, felicity
料金|fee, charge, fare
世の中|society, the world, the times
事情|circumstances, conditions, situation, reasons, state of affairs
列|row, line, file, column, queue, rank, procession
不自由|discomfort, inconvenience
条件|condition, term, requirement, qualification, prerequisite
破る|to tear, to rip, to break, to destroy
戦い|battle, war, fight, conflict
内容|contents, content, substance, matter, detail, import
言わば|so to speak, so to call it, as it were
減る|to decrease (in size or number), to diminish, to abate
程度|degree, amount, grade, standard, of the order of (following a number), about, approximately
本物|genuine article, real thing, real deal
従って|therefore, consequently, accordingly
不満|dissatisfaction, discontent, displeasure, complaint, unhappiness
次々|in succession, one by one
数える|to count, to enumerate
役|role, assignment, responsibility, duty, function, job, service
芝生|lawn, grass
会員|member, the membership
都会|city
岩|rock, boulder
区別|distinction, differentiation, discrimination, difference
回す|to turn, to rotate, to spin, to twist, to gyrate
豊か|abundant, plentiful, rich, ample
失望|disappointment, despair
面倒|trouble, bother
急速|rapid (e.g. progress)
計る|to measure, to weigh, to survey, to time (sound, gauge, estimate)
裏切る|to betray, to turn traitor (to), to double-cross, to go back on, to be unfaithful (to)
新鮮|fresh
組織|organization, organisation, formation
製造|manufacture, production
批判|criticism, judgement, judgment, comment
検査|inspection (e.g. customs, factory), examination, test, check, scan (e.g. MRI, PET), audit
残り|remainder, remnant, the rest, what is left, balance, leftovers
加わる|to be added to, to be appended
税金|tax, duty
今後|from now on, hereafter
塀|wall
手伝い|helper, assistant
比較|comparison
豊富|abundant, plentiful, rich, ample
願い|desire, wish, hope
有利|advantageous, favourable, better, stronger
少々|just a minute, small quantity
新た|new, fresh, novel
株|stock, share
快適|pleasant, agreeable, comfortable
働き|work, labor, labour
勘定|calculation, computation, counting, reckoning, count
息|breath, breathing
結ぶ|to tie, to bind, to link
直接|direct, immediate, personal, firsthand
構成|composition, construction, formation, makeup, structure, organization, organisation
応じる|to respond, to satisfy, to accept, to comply with, to apply for
苦手|poor (at), weak (in), not very good (at)
追う|to chase, to run after, to pursue, to follow after
謎|riddle, puzzle, enigma, mystery
刈る|to cut (grass, hair, etc.), to mow, to clip, to trim, to prune, to shear, to reap, to harvest
検討|consideration, examination, investigation, study, scrutiny, discussion, analysis, review
組む|to cross (legs or arms), to link (arms)
解釈|interpretation, explanation, reading, construction
絶対|absolutely, definitely, unconditionally
別に|(not) particularly, (not) especially, (not) specially
害|injury, harm, evil influence, damage
握る|to clasp, to grasp, to grip, to clutch
思想|thought, idea, ideology
選択|choice, selection, option
冷静|calmness, composure, coolness, serenity, presence of mind
髪の毛|hair (on the head), (a) hair
魅力|charm, fascination, glamour, glamor, attraction, appeal
飛び出す|to jump out, to rush out, to fly out
共に|together, jointly
確実|certain, sure, definite, reliable, sound, solid, safe, secure
減らす|to abate, to decrease, to diminish, to shorten
需要|demand, request
悩む|to be worried, to be troubled
悲しむ|to be sad, to mourn for, to regret
時期|time, season, period, phase, stage
適切|appropriate, suitable, fitting, apt, proper, right, pertinent, relevant
汚染|pollution, contamination
作物|crop, crops, (agricultural) produce, farm products
注目|notice, attention, observation
観察|observation, survey, watching
祝う|to celebrate, to congratulate, to observe (a festival)
不利|disadvantage, handicap, unfavorable position
主要|chief, main, principal, major
周囲|surroundings, environs
答案|examination paper, examination script, answer sheet
休憩|rest, break, recess, intermission
姉妹|sisters
支配|rule, domination, control
覚悟|readiness, (mental) preparedness
鋭い|sharp (knife, claws, etc.), pointed
代表|representation, representative, delegate, delegation
可哀相|poor, pitiable, pathetic, pitiful
集中|"concentration (on a task), focusing one's attention"
何で|why?, what for?
注ぐ|to pour (into)
換える|to replace, to convert, to change
試す|to try (out), to have a try (at), to test, to put to the test
嫌う|to hate, to dislike, to loathe
贈る|to give (as a gift), to present
混雑|congestion, crush, crowding, jam
配達|delivery
順調|favourable, favorable, doing well, OK, all right
小包|parcel, package
優秀|superior, excellent, brilliant, outstanding
混乱|disorder, chaos, confusion, mayhem
分野|field, sphere, realm, division, branch
書物|book, volume
就職|finding employment, getting a job
印|mark, sign
玉|ball, sphere, globe, orb
永久|eternity, permanence, perpetuity
軍|army, armed forces, troops
景気|business conditions, the market, economic activity, economic climate
多少|a little, some, somewhat, slightly, to some degree, to some extent
時刻|time, (the) hour
主義|doctrine, rule, principle, -ism
講演|lecture, address, speech
親友|close friend, bosom friend, buddy, crony, chum
国会|National Diet, legislative assembly of Japan (1947-)
外す|to remove, to take off, to detach, to unfasten, to undo
記入|entry (in a form, register, diary, etc.), filling in, filling out
衣服|clothes
納得|consent, agreement, acceptance
適用|applying (e.g. a technology), adoption
合計|sum total, total amount
質|quality, value
管理|control, management (e.g. of a business)
戻す|to put back, to return, to give back, to restore (to a previous state, e.g. defrosting, reconstituting, reconciling), to turn back (e.g. clock hand)
承知|knowledge, awareness
食卓|dining table
思い出|memories, recollections, reminiscence
