学校|school
何時も|always, all the time, at all times
書く|to write, to compose, to pen
沢山|a lot, lots, plenty, many, a large number, much, a great deal, a good deal
入る|to enter, to come in, to go in, to get in, to arrive
置く|to put, to place
何処|where, what place
住む|to live (of humans), to reside, to inhabit, to dwell, to abide
食べる|to eat
歩く|to walk
働く|to work, to labor, to labour
着く|to arrive at, to reach
上|above, over, up
悪い|bad, poor, undesirable
教える|to teach, to instruct
降る|to fall (of rain, snow, ash, etc.), to come down
死ぬ|to die, to pass away
帰る|to return, to come home, to go home, to go back
多い|many, numerous, a lot
若い|young, youthful
掛かる|to take (a resource, e.g. time or money)
同じ|same, identical, equal, alike, equivalent
起きる|to get up, to rise, to blaze up (fire)
座る|to sit, to squat
店|store, shop, establishment, restaurant
入れる|to put in, to let in, to take in, to bring in, to insert, to install (e.g. software), to set (a jewel, etc.), to ink in (e.g. tattoo)
何方|who
一寸|a little, a bit, slightly
疲れる|to get tired, to tire, to get fatigued, to become exhausted, to grow weary
開ける|to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock
何故|why, how, for what reason
寒い|cold (e.g. weather)
見せる|to show, to display
違う|to differ (from), to be different, to be distinct, to be unlike, to vary, to disagree (with)
如何して|how, in what way, by what means
付ける|to attach, to join, to connect, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment), to put against
風|wind, breeze, draught, draft
困る|to be troubled, to have difficulty, to be in a fix, to be at a loss, to be stumped, to be embarrassed
生まれる|to be born
丁度|exactly, precisely, just, right, opportunely, fortunately
初めて|for the first time
始まる|to begin, to start, to commence
貸す|to lend, to loan
奇麗|pretty, lovely, beautiful, fair
幾ら|how much
空|sky, the air, the heavens
弾く|to play (a stringed or keyboard instrument)
暑い|hot, warm, sultry, heated
遊ぶ|to play (games, sports), to enjoy oneself, to have a good time
然し|however, but
無くす|to lose (something)
色々|various, a variety of, all sorts of, many (different)
渡る|to cross over, to go across
暗い|dark, gloomy, murky
此方|this way, this direction
重い|heavy, weighty
美味しい|good(-tasting), nice, delicious, tasty
消す|to erase, to rub out, to rub off, to cross out, to delete
易しい|easy, plain, simple
閉める|to close, to shut
安い|cheap, inexpensive
遠い|far, distant, far away, a long way off, in the distance
短い|short
消える|to disappear, to vanish, to go out of sight, to go away, to become lost
晴れる|to clear up, to clear away, to be sunny, to stop raining
曲がる|to bend, to curve, to warp, to wind, to twist
冷たい|cold (to the touch), chilly, icy, freezing
青い|blue, azure
頁|page
吹く|to blow (of the wind)
奥さん|wife, your wife, his wife, married lady, madam
引く|to pull, to tug, to lead (e.g. a horse)
段々|gradually, by degrees, little by little, more and more, increasingly
習う|to take lessons in, to be taught, to learn (from a teacher), to study (under a teacher), to get training in
彼処|there, over there, that place, yonder, you-know-where
狭い|narrow, confined, small, cramped
軽い|light (i.e. not heavy), feeling light (i.e. offering little resistance, moving easily)
脱ぐ|to take off (clothes, shoes, etc.), to undress
並ぶ|to line up, to stand in a line
煩い|noisy, loud
吸う|to smoke, to breathe in, to inhale
詰らない|dull, uninteresting, boring, tedious
閉まる|to be shut, to close, to be closed
咲く|to bloom, to flower, to blossom, to open
真っ直ぐ|straight (ahead), direct, upright, erect
一|one, 1
お祖母さん|grandmother
其方|that way, that direction
涼しい|cool, refreshing
厚い|thick, deep, heavy
お兄さん|older brother, elder brother
お姉さん|older sister, elder sister
並べる|to line up, to set up, to arrange in a line
危ない|dangerous, risky, hazardous, perilous, precarious
汚い|dirty, filthy, foul, unclean
お腹|belly, abdomen, stomach
不味い|bad (taste), unpalatable, unsavoury, unsavory, awful, terrible, unpleasant
曇る|to get cloudy, to cloud over, to become overcast
ご飯|cooked rice
磨く|to polish, to shine, to burnish, to scour, to scrub, to brush (teeth), to grind (e.g. a lens)
お菓子|confections, sweets, candy, cake
鳴く|to make sound (of an animal), to call, to cry, to whine, to sing, to chirp
葉書|postcard
朝ご飯|breakfast
Ｙシャツ|(formal) shirt, dress shirt, business shirt, button-up shirt
六つ|six
お手洗い|toilet, restroom, lavatory, bathroom
お巡りさん|police officer
零|zero, nought
差す|to shine
粁|kilometer, kilometre
八つ|eight
再来年|year after next
燐寸|match (for lighting a fire)
良く|nicely, properly, well, skillfully, skilfully
其処|there (place relatively near listener)
答える|to answer, to reply
要る|to be needed, to be necessary, to be required, to be wanted, to need, to want
背|back
昼ご飯|lunch, midday meal
等|et cetera, etc., and the like, and so forth
プール|(swimming) pool
中|inside, interior
コーヒー|coffee
米|metre (unit of length), meter
エレベーター|elevator, lift
醤油|soy sauce, shoyu
はい|yes, that is correct
為る|to do, to carry out, to perform
彼|that, that thing
来る|to come (spatially or temporally), to approach, to arrive
一人|one person
二人|two persons, two people, pair, couple
側|near, close, beside, vicinity, proximity, besides, while
辛い|spicy, hot
伯母さん|aunt
四|four, 4
お酒|alcohol, sake
入口|entrance, entry, gate, approach, mouth
出口|exit, gateway, way out
此処|here, this place
前|in front (of), before (e.g. a building)
もう|already, yet, by now, now, (not) any more, (not) any longer
如何|how, in what way, how about
方|direction, way
未だ|still, as yet, only
何時|when, at what time, how soon
パーティ|party (social gathering)
他|another place, some other place, somewhere else, outside
次|next, following, subsequent
誰か|someone, somebody
開く|to open (e.g. doors)
下|below, down, under, younger (e.g. daughter)
然して|and, and then, thus, and now, and finally
さあ|come (on), come now, come along, here
其れから|and then, after that
ボタン|button (clothing)
トイレ|toilet, restroom, bathroom, lavatory
何れ|which (of three or more)
彼方|that way, that direction, over there, yonder
では|then, well, so, well then
温い|lukewarm, tepid
然うして|and, like that
瓦|gram, gramme
瓩|kilogram, kilogramme
直ぐに|immediately, right away, at once, instantly
忘れる|to forget, to leave carelessly, to be forgetful of, to forget about, to forget (an article)
咖哩|curry (esp. Japanese curry)
否|no
コップ|glass (drinking vessel), tumbler
幾つ|how many
黒|black
ある|to be (usu. of inanimate objects), to exist, to live
この|this
だ|is, are, am
する|to do
それ|that
